team,player_name,position,age,club,minutes_recent,goals_recent,assists_recent,xg_recent,xa_recent,injury_status,expected_return,source,retrieved_at,confidence,notes
Germany,Manuel Neuer,GK,40,Bayern Munich,,,,,,,,"https://www.aljazeera.com/sports/2026/5/31/germany-world-cup-2026-team-preview-players-to-watch-group-and-squad-list",2026-06-11,medium,"World Cup squad list; article identifies Neuer as 40"
Germany,Oliver Baumann,GK,,Hoffenheim,,,,,,,,"https://www.aljazeera.com/sports/2026/5/31/germany-world-cup-2026-team-preview-players-to-watch-group-and-squad-list",2026-06-11,medium,"World Cup squad list"
Germany,Alexander Nubel,GK,,Stuttgart,,,,,,,,"https://www.aljazeera.com/sports/2026/5/31/germany-world-cup-2026-team-preview-players-to-watch-group-and-squad-list",2026-06-11,medium,"World Cup squad list"
Germany,Joshua Kimmich,DF,,Bayern Munich,,,,,,,,"https://www.aljazeera.com/sports/2026/5/31/germany-world-cup-2026-team-preview-players-to-watch-group-and-squad-list",2026-06-11,medium,"World Cup squad list; article identifies Kimmich as captain/right back"
Germany,Nico Schlotterbeck,DF,,Borussia Dortmund,,,,,,,,"https://www.aljazeera.com/sports/2026/5/31/germany-world-cup-2026-team-preview-players-to-watch-group-and-squad-list",2026-06-11,medium,"World Cup squad list"
Germany,Jonathan Tah,DF,,Bayern Munich,,,,,,,,"https://www.aljazeera.com/sports/2026/5/31/germany-world-cup-2026-team-preview-players-to-watch-group-and-squad-list",2026-06-11,medium,"World Cup squad list"
Germany,Jamal Musiala,MF,23,Bayern Munich,,,,,,,,"https://www.aljazeera.com/sports/2026/5/31/germany-world-cup-2026-team-preview-players-to-watch-group-and-squad-list",2026-06-11,medium,"World Cup squad list; article identifies Musiala as 23"
Germany,Florian Wirtz,MF,,Liverpool,,,,,,,,"https://www.aljazeera.com/sports/2026/5/31/germany-world-cup-2026-team-preview-players-to-watch-group-and-squad-list",2026-06-11,medium,"World Cup squad list"
Germany,Kai Havertz,FW,,Arsenal,,,,,,,,"https://www.aljazeera.com/sports/2026/5/31/germany-world-cup-2026-team-preview-players-to-watch-group-and-squad-list",2026-06-11,medium,"World Cup squad list"
Germany,Nick Woltemade,FW,,Newcastle United,,,,,,,,"https://www.aljazeera.com/sports/2026/5/31/germany-world-cup-2026-team-preview-players-to-watch-group-and-squad-list",2026-06-11,medium,"World Cup squad list"
Curaçao,Eloy Room,GK,,Miami FC,,,,,,,,"https://www.olympics.com/en/news/fifa-world-cup-2026-curacao-players-squad-list-key-stats-schedule",2026-06-11,medium,"Olympics.com search result lists player and club"
Curaçao,Tyrick Bodak,GK,,SC Telstar,,,,,,,,"https://www.olympics.com/en/news/fifa-world-cup-2026-curacao-players-squad-list-key-stats-schedule",2026-06-11,medium,"Olympics.com search result lists player and club"
Curaçao,Trevor Doornbusch,GK,,VVV-Venlo,,,,,,,,"https://www.olympics.com/en/news/fifa-world-cup-2026-curacao-players-squad-list-key-stats-schedule",2026-06-11,medium,"Olympics.com search result lists player and club"
Curaçao,Livano Comenencia,DF,,,,,,,,,,"https://www.espn.com/soccer/team/squad/_/id/11678/league/FIFA.WORLD",2026-06-11,medium,"ESPN search result lists player as defender; club not collected"
Curaçao,Tyrese Noslin,DF,,,,,,,,,,"https://www.espn.com/soccer/team/squad/_/id/11678/league/FIFA.WORLD",2026-06-11,medium,"ESPN search result lists player as defender; club not collected"
Curaçao,Armando Obispo,DF,,PSV Eindhoven,,,,,,,,"https://www.transfermarkt.us/curacao/kader/verein/32364",2026-06-11,low,"Public squad page search result lists player and club; low confidence supplemental source"
Curaçao,Joshua Brenet,DF,,,,,,,,,,"https://www.espn.com/soccer/team/squad/_/id/11678/league/FIFA.WORLD",2026-06-11,medium,"ESPN search result lists player as defender; club not collected"
Curaçao,Leandro Bacuna,MF,34,,,,,,,,,"https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/curacao-squad-announcement-dick-advocaat",2026-06-11,high,"FIFA article/search result identifies captain and midfielder; age from FourFourTwo search result"
Curaçao,Juninho Bacuna,MF,,,,,,,,,,"https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/curacao-squad-announcement-dick-advocaat",2026-06-11,high,"FIFA article/search result identifies midfield duo with Leandro Bacuna"
Curaçao,Tahith Chong,MF,,,,,,,,,,"https://www.espn.com/soccer/team/squad/_/id/11678/league/FIFA.WORLD",2026-06-11,medium,"ESPN search result lists player as midfielder; club not collected"
